chm13.chr13      Homo_sapiens_chri13
mGorGor1.chr13   Gorilla_gorilla_chr13
mPanPan1.chr13   Pan_paniscus_chr13
mPanTro3.chr13   Pan_troglodytes_chr13
mPonAbe1.chr13   Pongo_abelii_chr13
mPonPyg2.chr13   Pongo_pygmaeus_chr13
mSymSyn1.chr13   Symphalangus_syndactylus_chr13
chm13.chr14      Homo_sapiens_chr14
mGorGor1.chr14   Gorilla_gorilla_chr14
mPanPan1.chr14   Pan_paniscus_chr14
mPanTro3.chr14   Pan_troglodytes_chr14
mPonAbe1.chr14   Pongo_abelii_chr14
mPonPyg2.chr14   Pongo_pygmaeus_chr14
mSymSyn1.chr14   Symphalangus_syndactylus_chr14
