chm13.chrX      Homo_sapiens_chrX
mGorGor1.chrX   Gorilla_gorilla_chrX
mPanPan1.chrX   Pan_paniscus_chrX
mPanTro3.chrX   Pan_troglodytes_chrX
mPonAbe1.chrX   Pongo_abelii_chrX
mPonPyg2.chrX   Pongo_pygmaeus_chrX
mSymSyn1.chrX   Symphalangus_syndactylus_chrX
hg002.chrY      Homo_sapiens_chrY
mGorGor1.chrY   Gorilla_gorilla_chrY
mPanPan1.chrY   Pan_paniscus_chrY
mPanTro3.chrY   Pan_troglodytes_chrY
mPonAbe1.chrY   Pongo_abelii_chrY
mPonPyg2.chrY   Pongo_pygmaeus_chrY
mSymSyn1.chrY   Symphalangus_syndactylus_chrY
