chm13.chr11      Homo_sapiens_chr11
mGorGor1.chr11   Gorilla_gorilla_chr11
mPanPan1.chr11   Pan_paniscus_chr11
mPanTro3.chr11   Pan_troglodytes_chr11
mPonAbe1.chr11   Pongo_abelii_chr11
mPonPyg2.chr11   Pongo_pygmaeus_chr11
mSymSyn1.chr11   Symphalangus_syndactylus_chr11
chm13.chr12      Homo_sapiens_chr12
mGorGor1.chr12   Gorilla_gorilla_chr12
mPanPan1.chr12   Pan_paniscus_chr12
mPanTro3.chr12   Pan_troglodytes_chr12
mPonAbe1.chr12   Pongo_abelii_chr12
mPonPyg2.chr12   Pongo_pygmaeus_chr12
mSymSyn1.chr12   Symphalangus_syndactylus_chr12
